nickname,l1,gender,labels_file_path,wav_file_path
ABA,Arabic,M,E:\voice_datasets\arctic\l2arctic_release_v5.0\data\ABA\annotation\arctic_a0003.TextGrid,E:\voice_datasets\arctic\l2arctic_release_v5.0\data\ABA\wav\arctic_a0003.wav
ABA,Arabic,M,E:\voice_datasets\arctic\l2arctic_release_v5.0\data\ABA\annotation\arctic_a0005.TextGrid,E:\voice_datasets\arctic\l2arctic_release_v5.0\data\ABA\wav\arctic_a0005.wav
ABA,Arabic,M,E:\voice_datasets\arctic\l2arctic_release_v5.0\data\ABA\annotation\arctic_a0006.TextGrid,E:\voice_datasets\arctic\l2arctic_release_v5.0\data\ABA\wav\arctic_a0006.wav
ABA,Arabic,M,E:\voice_datasets\arctic\l2arctic_release_v5.0\data\ABA\annotation\arctic_a0007.TextGrid,E:\voice_datasets\arctic\l2arctic_release_v5.0\data\ABA\wav\arctic_a0007.wav
ABA,Arabic,M,E:\voice_datasets\arctic\l2arctic_release_v5.0\data\ABA\annotation\arctic_a0008.TextGrid,E:\voice_datasets\arctic\l2arctic_release_v5.0\data\ABA\wav\arctic_a0008.wav
ABA,Arabic,M,E:\voice_datasets\arctic\l2arctic_release_v5.0\data\ABA\annotation\arctic_a0010.TextGrid,E:\voice_datasets\arctic\l2arctic_release_v5.0\data\ABA\wav\arctic_a0010.wav
ABA,Arabic,M,E:\voice_datasets\arctic\l2arctic_release_v5.0\data\ABA\annotation\arctic_a0011.TextGrid,E:\voice_datasets\arctic\l2arctic_release_v5.0\data\ABA\wav\arctic_a0011.wav
ABA,Arabic,M,E:\voice_datasets\arctic\l2arctic_release_v5.0\data\ABA\annotation\arctic_a0013.TextGrid,E:\voice_datasets\arctic\l2arctic_release_v5.0\data\ABA\wav\arctic_a0013.wav
ABA,Arabic,M,E:\voice_datasets\arctic\l2arctic_release_v5.0\data\ABA\annotation\arctic_a0018.TextGrid,E:\voice_datasets\arctic\l2arctic_release_v5.0\data\ABA\wav\arctic_a0018.wav
ABA,Arabic,M,E:\voice_datasets\arctic\l2arctic_release_v5.0\data\ABA\annotation\arctic_a0019.TextGrid,E:\voice_datasets\arctic\l2arctic_release_v5.0\data\ABA\wav\arctic_a0019.wav
ABA,Arabic,M,E:\voice_datasets\arctic\l2arctic_release_v5.0\data\ABA\annotation\arctic_a0020.TextGrid,E:\voice_datasets\arctic\l2arctic_release_v5.0\data\ABA\wav\arctic_a0020.wav
ABA,Arabic,M,E:\voice_datasets\arctic\l2arctic_release_v5.0\data\ABA\annotation\arctic_a0021.TextGrid,E:\voice_datasets\arctic\l2arctic_release_v5.0\data\ABA\wav\arctic_a0021.wav
ABA,Arabic,M,E:\voice_datasets\arctic\l2arctic_release_v5.0\data\ABA\annotation\arctic_a0022.TextGrid,E:\voice_datasets\arctic\l2arctic_release_v5.0\data\ABA\wav\arctic_a0022.wav
ABA,Arabic,M,E:\voice_datasets\arctic\l2arctic_release_v5.0\data\ABA\annotation\arctic_a0023.TextGrid,E:\voice_datasets\arctic\l2arctic_release_v5.0\data\ABA\wav\arctic_a0023.wav
ABA,Arabic,M,E:\voice_datasets\arctic\l2arctic_release_v5.0\data\ABA\annotation\arctic_a0024.TextGrid,E:\voice_datasets\arctic\l2arctic_release_v5.0\data\ABA\wav\arctic_a0024.wav
ABA,Arabic,M,E:\voice_datasets\arctic\l2arctic_release_v5.0\data\ABA\annotation\arctic_a0025.TextGrid,E:\voice_datasets\arctic\l2arctic_release_v5.0\data\ABA\wav\arctic_a0025.wav
ABA,Arabic,M,E:\voice_datasets\arctic\l2arctic_release_v5.0\data\ABA\annotation\arctic_a0026.TextGrid,E:\voice_datasets\arctic\l2arctic_release_v5.0\data\ABA\wav\arctic_a0026.wav
ABA,Arabic,M,E:\voice_datasets\arctic\l2arctic_release_v5.0\data\ABA\annotation\arctic_a0027.TextGrid,E:\voice_datasets\arctic\l2arctic_release_v5.0\data\ABA\wav\arctic_a0027.wav
ABA,Arabic,M,E:\voice_datasets\arctic\l2arctic_release_v5.0\data\ABA\annotation\arctic_a0028.TextGrid,E:\voice_datasets\arctic\l2arctic_release_v5.0\data\ABA\wav\arctic_a0028.wav
ABA,Arabic,M,E:\voice_datasets\arctic\l2arctic_release_v5.0\data\ABA\annotation\arctic_a0029.TextGrid,E:\voice_datasets\arctic\l2arctic_release_v5.0\data\ABA\wav\arctic_a0029.wav
ABA,Arabic,M,E:\voice_datasets\arctic\l2arctic_release_v5.0\data\ABA\annotation\arctic_a0030.TextGrid,E:\voice_datasets\arctic\l2arctic_release_v5.0\data\ABA\wav\arctic_a0030.wav
ABA,Arabic,M,E:\voice_datasets\arctic\l2arctic_release_v5.0\data\ABA\annotation\arctic_a0031.TextGrid,E:\voice_datasets\arctic\l2arctic_release_v5.0\data\ABA\wav\arctic_a0031.wav
